               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.029704,            0.024591,            0.028081,             0.81651,             0.39869,             0.46841,             0.35721,            0.023209,             0.01626,            0.030587,           0.0090496,           0.0090496,           0.0090496
                  98,            0.029121,            0.024812,            0.027633,             0.83401,             0.41269,             0.48927,              0.3724,            0.023291,            0.016072,            0.030136,           0.0090397,           0.0090397,           0.0090397
                  99,            0.029027,            0.024883,            0.027316,             0.84603,             0.38659,             0.47616,             0.35872,            0.023333,            0.015968,              0.0305,           0.0090298,           0.0090298,           0.0090298
                 100,            0.029556,            0.024458,            0.026655,             0.82308,               0.409,              0.4788,             0.36353,             0.02302,            0.016127,            0.029709,           0.0090199,           0.0090199,           0.0090199
                 101,            0.029024,            0.024542,             0.02676,             0.85052,             0.39376,             0.47218,             0.35852,            0.023008,            0.015954,            0.030451,             0.00901,             0.00901,             0.00901
                 102,            0.028839,             0.02459,            0.026767,             0.84891,              0.3995,             0.49326,             0.37299,            0.022968,            0.015877,            0.029755,           0.0090001,           0.0090001,           0.0090001
                 103,            0.028871,            0.024646,            0.027113,             0.82612,             0.41902,             0.50279,             0.37968,            0.022957,            0.016023,            0.029373,           0.0089902,           0.0089902,           0.0089902
                 104,            0.028731,            0.023888,            0.026653,             0.85103,             0.41168,             0.49764,             0.36949,            0.023108,            0.016276,            0.030585,           0.0089803,           0.0089803,           0.0089803
                 105,            0.028926,            0.024463,              0.0261,             0.86618,             0.41446,              0.4951,             0.38091,            0.022512,            0.015777,            0.028801,           0.0089704,           0.0089704,           0.0089704
                 106,            0.028527,            0.024157,            0.026057,              0.8896,              0.3999,             0.49558,             0.38026,            0.022695,            0.015736,            0.029836,           0.0089605,           0.0089605,           0.0089605
                 107,              0.0286,            0.024601,            0.026132,             0.85391,             0.42152,             0.51038,              0.3946,            0.022362,            0.015646,            0.028898,           0.0089506,           0.0089506,           0.0089506
                 108,            0.028899,            0.024394,              0.0254,             0.84955,             0.40205,             0.49826,             0.38497,            0.022611,            0.015705,            0.028891,           0.0089407,           0.0089407,           0.0089407
                 109,            0.028634,            0.024065,            0.025273,             0.86907,             0.39069,             0.49262,             0.37865,            0.022931,            0.015963,            0.029417,           0.0089308,           0.0089308,           0.0089308
                 110,            0.028422,            0.024262,            0.024693,             0.86332,             0.41191,             0.51271,              0.3984,            0.022438,            0.015661,            0.028558,           0.0089209,           0.0089209,           0.0089209
                 111,            0.028873,             0.02414,            0.025064,             0.86898,              0.4246,             0.50019,             0.38489,            0.022768,            0.015661,            0.028375,            0.008911,            0.008911,            0.008911
                 112,            0.028459,            0.023518,            0.024043,             0.87959,              0.4142,             0.52574,             0.40486,            0.022542,            0.015603,             0.02825,           0.0089011,           0.0089011,           0.0089011
                 113,            0.028514,            0.024319,            0.024614,             0.87728,             0.41035,             0.50758,             0.39111,            0.022552,            0.015738,            0.028309,           0.0088912,           0.0088912,           0.0088912
                 114,            0.028335,             0.02371,            0.024479,             0.86227,             0.41252,             0.49809,              0.3884,            0.021982,            0.015481,            0.028545,           0.0088813,           0.0088813,           0.0088813
                 115,            0.028716,            0.023878,            0.023711,             0.86981,             0.40581,             0.50308,             0.38749,            0.022561,            0.016062,            0.028722,           0.0088714,           0.0088714,           0.0088714
                 116,            0.028367,             0.02369,            0.023745,             0.87547,              0.4185,             0.51271,             0.39977,            0.022152,            0.015636,            0.028013,           0.0088615,           0.0088615,           0.0088615
                 117,            0.028287,             0.02415,            0.023668,              0.8879,             0.41138,             0.51736,              0.4012,             0.02226,            0.015765,            0.028506,           0.0088516,           0.0088516,           0.0088516
