               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.031782,            0.030065,            0.038439,             0.82629,             0.26507,             0.35792,             0.26893,            0.025368,            0.018085,            0.037375,           0.0091288,           0.0091288,           0.0091288
                  90,            0.032056,            0.030002,            0.038052,             0.83594,             0.25597,             0.34644,             0.26339,            0.026002,            0.018409,            0.038668,           0.0091189,           0.0091189,           0.0091189
                  91,            0.031262,            0.029922,            0.038208,             0.88258,             0.26014,             0.37622,             0.28858,            0.024896,            0.018205,            0.037068,            0.009109,            0.009109,            0.009109
                  92,            0.032197,             0.03035,            0.037149,             0.86635,               0.257,             0.37646,             0.28885,            0.024904,            0.018117,            0.036775,           0.0090991,           0.0090991,           0.0090991
                  93,            0.032673,            0.030225,            0.037352,             0.77663,              0.3123,             0.38523,             0.28879,            0.024984,            0.017881,            0.036382,           0.0090892,           0.0090892,           0.0090892
                  94,            0.031678,            0.029773,            0.036602,             0.79064,             0.30201,             0.37922,             0.28698,            0.024994,            0.018339,            0.036675,           0.0090793,           0.0090793,           0.0090793
                  95,            0.031347,            0.029619,            0.036753,             0.74561,             0.33459,             0.40664,             0.30536,            0.024997,            0.018073,            0.035734,           0.0090694,           0.0090694,           0.0090694
                  96,            0.031389,            0.029734,             0.03716,             0.78299,             0.31604,             0.39862,             0.29922,             0.02558,            0.018248,             0.03621,           0.0090595,           0.0090595,           0.0090595
                  97,            0.032066,            0.029651,            0.036437,             0.77443,             0.32503,             0.38115,             0.28453,            0.025286,             0.01824,            0.036526,           0.0090496,           0.0090496,           0.0090496
                  98,            0.031553,            0.029911,            0.035502,             0.88541,             0.28073,             0.39214,             0.29721,            0.025062,             0.01798,             0.03593,           0.0090397,           0.0090397,           0.0090397
                  99,            0.031258,            0.029939,            0.035586,             0.82936,              0.3214,             0.41271,             0.30829,            0.024889,            0.017842,              0.0351,           0.0090298,           0.0090298,           0.0090298
                 100,            0.032024,            0.029517,            0.034571,             0.78636,             0.33786,             0.41875,             0.31589,            0.025743,            0.018029,            0.035067,           0.0090199,           0.0090199,           0.0090199
                 101,            0.031265,            0.029688,            0.035112,              0.8752,             0.30227,             0.39863,             0.30293,            0.024518,            0.017715,            0.035333,             0.00901,             0.00901,             0.00901
